-----------------------------------------------------------|---------|----------|---------|---------|-------------------------------------------------------------------
File                                                       | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                 
-----------------------------------------------------------|---------|----------|---------|---------|-------------------------------------------------------------------
  ClearHandler.js                                          |     100 |      100 |     100 |     100 |                                                                   
  RefreshHandler.js                                        |     100 |     90.9 |     100 |     100 | 29                                                                
 features/feedback/ui                                      |     100 |      100 |     100 |     100 |                                                                   
  FeedbackView.js                                          |     100 |      100 |     100 |     100 |                                                                   
 features/home/ui                                          |   89.47 |      100 |     100 |   89.47 |                                                                   
  HomeView.js                                              |   89.47 |      100 |     100 |   89.47 | 48-53                                                             
 features/session/logic                                    |     100 |      100 |     100 |     100 |                                                                   
  SessionManager.js                                        |     100 |      100 |     100 |     100 |                                                                   
 features/settings/components                              |   92.85 |       80 |     100 |   92.85 |                                                                   
  ConfigForm.js                                            |   92.85 |       80 |     100 |   92.85 | 65-66,89-91,110-112,122                                           
 features/settings/logic                                   |     100 |      100 |     100 |     100 |                                                                   
  domainManager.js                                         |     100 |      100 |     100 |     100 |                                                                   
 features/settings/ui                                      |   83.33 |    78.57 |   57.89 |   83.33 |                                                                   
  SettingsView.js                                          |   83.33 |    78.57 |   57.89 |   83.33 | 145,149,187-194,197-222,252-254,258,262-265,293-298,320-323       
 shared/logic                                              |     100 |    76.92 |     100 |     100 |                                                                   
  AutoScroll.js                                            |     100 |    76.92 |     100 |     100 | 37,62,81                                                          
 shared/services                                           |   97.46 |    94.73 |     100 |   97.46 |                                                                   
  NavigationService.js                                     |   97.46 |    94.73 |     100 |   97.46 | 82-83,142-143,232-233                                             
 shared/ui                                                 |   94.11 |    94.59 |   94.73 |   94.11 |                                                                   
  ActionMenu.js                                            |     100 |    88.88 |     100 |     100 | 40                                                                
  ContextualChips.js                                       |   94.06 |     92.3 |     100 |   94.06 | 67-69,110-113                                                     
  Modal.js                                                 |     100 |      100 |     100 |     100 |                                                                   
  SkeletonLoader.js                                        |    88.3 |      100 |   66.66 |    88.3 | 151-170                                                           
 shared/ui/feedback                                        |   85.71 |    66.66 |     100 |   85.71 |                                                                   
  Toaster.js                                               |   85.71 |    66.66 |     100 |   85.71 | 25-26,34-35,38-39                                                 
 shared/ui/layout                                          |     100 |      100 |     100 |     100 |                                                                   
  MainLayout.js                                            |     100 |      100 |     100 |     100 |                                                                   
  TopNav.js                                                |     100 |      100 |     100 |     100 |                                                                   
